condition,method,seed,coverage_percent,team_score_unique_weighted_cells,covered_area_m2,aoi_cells,covered_cells,cell_observations,exposure_redundancy_percent,revisited_covered_cells_percent,coverage_episodes,observation_step_s,evaluation_grid_m,mean_observation_age_s,post_warmup_mean_age_s,terminal_p95_age_s,max_censored_unobserved_time_s,mean_max_censored_unobserved_time_s,post_warmup_coverage_percent,completed_blind_intervals,completed_blind_interval_mean_s,completed_blind_interval_p95_s,time_to_80_percent_s,time_to_95_percent_s,planning_runtime_s,landing_to_charge_delay_samples_s,mean_landing_to_charge_delay_s,airborne_vehicle_seconds,runtime_s
main,point,0,88.21177860667702,1522994,1522994.0,1726520,1522994,59250709,97.42957674987484,75.91270878283171,6021918,1,1.0,1575.3137908715353,1977.063052620896,6120.0,6120,3759.4792049903854,76.89068183397818,3565479,838.0973285777311,3217,4536,,0.6384637500000001,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,6.050174833
main,point,1,88.21177860667702,1522994,1522994.0,1726520,1522994,59250709,97.42957674987484,75.91270878283171,6021918,1,1.0,1575.3137908715353,1977.063052620896,6120.0,6120,3759.4792049903854,76.89068183397818,3565479,838.0973285777311,3217,4536,,0.6601700420000043,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,6.126219957999993
main,point,2,88.21177860667702,1522994,1522994.0,1726520,1522994,59250709,97.42957674987484,75.91270878283171,6021918,1,1.0,1575.3137908715353,1977.063052620896,6120.0,6120,3759.4792049903854,76.89068183397818,3565479,838.0973285777311,3217,4536,,0.6630314580000061,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,6.136324124999987
main,point,3,88.21177860667702,1522994,1522994.0,1726520,1522994,59250709,97.42957674987484,75.91270878283171,6021918,1,1.0,1575.3137908715353,1977.063052620896,6120.0,6120,3759.4792049903854,76.89068183397818,3565479,838.0973285777311,3217,4536,,0.6748437079999974,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,6.25407204199999
main,point,4,88.21177860667702,1522994,1522994.0,1726520,1522994,59250709,97.42957674987484,75.91270878283171,6021918,1,1.0,1575.3137908715353,1977.063052620896,6120.0,6120,3759.4792049903854,76.89068183397818,3565479,838.0973285777311,3217,4536,,0.6732855829999949,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,6.194608458000005
main,point,5,88.21177860667702,1522994,1522994.0,1726520,1522994,59250709,97.42957674987484,75.91270878283171,6021918,1,1.0,1575.3137908715353,1977.063052620896,6120.0,6120,3759.4792049903854,76.89068183397818,3565479,838.0973285777311,3217,4536,,0.6551265829999999,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,6.002681624999999
main,point,6,88.21177860667702,1522994,1522994.0,1726520,1522994,59250709,97.42957674987484,75.91270878283171,6021918,1,1.0,1575.3137908715353,1977.063052620896,6120.0,6120,3759.4792049903854,76.89068183397818,3565479,838.0973285777311,3217,4536,,0.6590820000000122,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,6.072076749999994
main,point,7,88.21177860667702,1522994,1522994.0,1726520,1522994,59250709,97.42957674987484,75.91270878283171,6021918,1,1.0,1575.3137908715353,1977.063052620896,6120.0,6120,3759.4792049903854,76.89068183397818,3565479,838.0973285777311,3217,4536,,0.6609499159999928,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,6.0667009169999915
main,point,8,88.21177860667702,1522994,1522994.0,1726520,1522994,59250709,97.42957674987484,75.91270878283171,6021918,1,1.0,1575.3137908715353,1977.063052620896,6120.0,6120,3759.4792049903854,76.89068183397818,3565479,838.0973285777311,3217,4536,,0.672202958000014,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,6.186813459000007
main,point,9,88.21177860667702,1522994,1522994.0,1726520,1522994,59250709,97.42957674987484,75.91270878283171,6021918,1,1.0,1575.3137908715353,1977.063052620896,6120.0,6120,3759.4792049903854,76.89068183397818,3565479,838.0973285777311,3217,4536,,0.6632974579999882,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,6.132716374999973
main,naive,0,99.48057363945972,1717552,1717552.0,1726520,1717552,52510799,96.72914518021331,91.10361724128295,6311932,1,1.0,1228.9273650420037,1480.2290589377792,4326.0,6120,3159.6635445867987,93.81715821421125,3769707,1244.506102728939,3673,3139,4458,5.160400000000001,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,10.380285875
main,naive,1,99.70651947269653,1721453,1721453.0,1726520,1721453,56114666,96.93225831549991,91.10890625535521,6737816,1,1.0,1196.3377097964753,1419.512462046373,4260.0,6120,3080.248861872437,93.8400945254037,4259452,1015.0489527760848,3119,3049,4746,5.325147915999992,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,10.730028875000002
main,naive,2,99.28213979565832,1714126,1714126.0,1726520,1714126,56228525,96.95150103973027,89.52579915362115,6797630,1,1.0,1288.3649582037328,1554.5567621583969,4349.0,6120,3319.3551438732247,93.45278363413108,4272318,1009.8601646693902,3587,3225,4679,5.305597083000009,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,10.788168583000015
main,naive,3,99.4136760651484,1716397,1716397.0,1726520,1716397,55587835,96.91227945826637,93.0498014154068,6668122,1,1.0,1181.631179957617,1392.9295935583389,4219.0,6120,3030.487323054468,94.1450432083034,4135528,1102.2034402862223,3009,3171,4282,5.350435874999988,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,10.835193707999991
main,naive,4,98.3048560109353,1697253,1697253.0,1726520,1697253,56253924,96.982871808196,84.6386484513505,6773218,1,1.0,1436.6439809719054,1743.1724478221918,4350.0,6120,3566.3122112689107,90.87198526515766,3838194,855.9967179876786,3465,3854,5700,5.318320749999998,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,10.772746332999986
main,naive,5,99.37515927993884,1715732,1715732.0,1726520,1715732,56689463,96.9734551904293,90.57982248975948,6800306,1,1.0,1191.929290924799,1385.3895460845415,3679.0,6120,3035.2339463197645,96.05622871440818,4117659,1047.835053606916,2922,3251,5035,5.1806321660000005,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,10.510541499999999
main,naive,6,99.21234622245905,1712921,1712921.0,1726520,1712921,56277897,96.95631661573992,91.07267643983582,6759785,1,1.0,1234.7702382113348,1487.7557399616444,4385.0,6120,3165.1013947130646,93.08725065449575,4159842,992.8509421752076,3265,2995,5167,5.311945125000008,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,10.672855583
main,naive,7,99.38147255751454,1715841,1715841.0,1726520,1715841,53606744,96.7992068311405,88.86038974473742,6435685,1,1.0,1252.359433986292,1508.9879255387866,4432.0,6120,3205.860377522415,91.19772722007275,3921514,1079.4917422199692,3341,3001,4661,5.28484070899998,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,10.639111500000013
main,naive,8,99.45282997011329,1717073,1717073.0,1726520,1717073,57697683,97.02401741158306,92.61167114036503,6931675,1,1.0,1225.291745886243,1458.24772943608,4094.0,6120,3142.86734297894,94.92354562935847,4279126,1014.144092742303,3299,3282,5026,5.366906499999999,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,10.87703320899999
main,naive,9,99.72291082640224,1721736,1721736.0,1726520,1721736,56405084,96.94755174905865,92.01323547860996,6777393,1,1.0,1193.059302513905,1420.3757755808692,4224.0,6120,3103.9916572064035,93.17662118017746,4261730,990.1947650367339,3148,2907,4133,5.269096000000047,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,10.67728383299999
main,sweep,0,76.41660681602298,1319348,1319348.0,1726520,1319348,53622240,97.53955075356792,91.3436030524168,5533291,1,1.0,1471.5588179366323,1800.8691659405376,6120.0,6120,3278.6421651646087,74.00105414359521,3590479,1142.4143798083765,2044,,,0.632450875,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,5.959011541999999
main,sweep,1,76.41660681602298,1319348,1319348.0,1726520,1319348,53622240,97.53955075356792,91.3436030524168,5533291,1,1.0,1471.5588179366323,1800.8691659405376,6120.0,6120,3278.6421651646087,74.00105414359521,3590479,1142.4143798083765,2044,,,0.637675791999996,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,5.93071654100001
main,sweep,2,76.41660681602298,1319348,1319348.0,1726520,1319348,53622240,97.53955075356792,91.3436030524168,5533291,1,1.0,1471.5588179366323,1800.8691659405376,6120.0,6120,3278.6421651646087,74.00105414359521,3590479,1142.4143798083765,2044,,,0.6553490830000044,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,6.057602166999999
main,sweep,3,76.41660681602298,1319348,1319348.0,1726520,1319348,53622240,97.53955075356792,91.3436030524168,5533291,1,1.0,1471.5588179366323,1800.8691659405376,6120.0,6120,3278.6421651646087,74.00105414359521,3590479,1142.4143798083765,2044,,,0.6528071249999812,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,6.069714583000007
main,sweep,4,76.41660681602298,1319348,1319348.0,1726520,1319348,53622240,97.53955075356792,91.3436030524168,5533291,1,1.0,1471.5588179366323,1800.8691659405376,6120.0,6120,3278.6421651646087,74.00105414359521,3590479,1142.4143798083765,2044,,,0.6702439169999934,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,6.037102040999969
main,sweep,5,76.41660681602298,1319348,1319348.0,1726520,1319348,53622240,97.53955075356792,91.3436030524168,5533291,1,1.0,1471.5588179366323,1800.8691659405376,6120.0,6120,3278.6421651646087,74.00105414359521,3590479,1142.4143798083765,2044,,,0.6405157499999987,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,5.929808542
main,sweep,6,76.41660681602298,1319348,1319348.0,1726520,1319348,53622240,97.53955075356792,91.3436030524168,5533291,1,1.0,1471.5588179366323,1800.8691659405376,6120.0,6120,3278.6421651646087,74.00105414359521,3590479,1142.4143798083765,2044,,,0.644190583000011,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,5.875051584000005
main,sweep,7,76.41660681602298,1319348,1319348.0,1726520,1319348,53622240,97.53955075356792,91.3436030524168,5533291,1,1.0,1471.5588179366323,1800.8691659405376,6120.0,6120,3278.6421651646087,74.00105414359521,3590479,1142.4143798083765,2044,,,0.6523811670000157,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,5.986127209000017
main,sweep,8,76.41660681602298,1319348,1319348.0,1726520,1319348,53622240,97.53955075356792,91.3436030524168,5533291,1,1.0,1471.5588179366323,1800.8691659405376,6120.0,6120,3278.6421651646087,74.00105414359521,3590479,1142.4143798083765,2044,,,0.654941832999981,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,5.9995303340000135
main,sweep,9,76.41660681602298,1319348,1319348.0,1726520,1319348,53622240,97.53955075356792,91.3436030524168,5533291,1,1.0,1471.5588179366323,1800.8691659405376,6120.0,6120,3278.6421651646087,74.00105414359521,3590479,1142.4143798083765,2044,,,0.647287958999982,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,5.965605125000025
main,greedy,0,99.54770289368209,1718711,1718711.0,1726520,1718711,57770460,97.02493108069419,91.10886007013396,6722407,1,1.0,1202.35081082404,1427.90597728634,4514.0,6120,3169.764247156129,89.64720941547158,4276089,995.3249127882979,3303,2998,3882,1.9118855000000003,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.353768292000002
main,greedy,1,99.51567314598151,1718158,1718158.0,1726520,1718158,55759871,96.91864782111853,93.24386930654806,6557935,1,1.0,1182.3483394931986,1400.6454125038101,4176.0,6120,3098.1621794129233,93.33190464054861,4152007,1101.2728962162155,3254,3009,4105,1.9060309999999987,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.305587416999998
main,greedy,2,99.65989389060074,1720648,1720648.0,1726520,1720648,58206198,97.04387494953716,91.61286910512784,6846788,1,1.0,1124.6014139110764,1309.0152279399554,4213.0,6120,2922.2855483863495,94.58616175891389,4462024,1007.75367120392,2914,3117,3791,1.939486125000002,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.550847541999985
main,greedy,3,99.65074253411487,1720490,1720490.0,1726520,1720490,57056124,96.98456558317912,91.48713447913094,6719359,1,1.0,1124.3526263637882,1307.6071669941985,4043.0,6120,2939.478544702639,95.1208210736047,4386820,1037.5046933769793,3078,3022,3827,1.9411751250000293,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.480589209000016
main,greedy,4,99.43539605680792,1716772,1716772.0,1726520,1716772,56380152,96.95500643559812,91.68876239826838,6682588,1,1.0,1152.3500971068177,1352.7011608130297,4185.0,6120,2985.5687075736164,94.45109237078053,4373408,1059.3763854184197,3107,3024,4420,1.9544899169999894,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.4374275000000125
main,greedy,5,99.5288789009105,1718386,1718386.0,1726520,1718386,56350005,96.95051313660043,90.67729834856662,6621705,1,1.0,1163.2600054715451,1364.1425326515357,4205.0,6120,3036.4989580196,94.18929407131108,4365520,1025.5741923069875,3082,3185,4282,1.8889318750000008,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.214974083000001
main,greedy,6,99.48717651692422,1717666,1717666.0,1726520,1717666,58392587,97.05841770634345,91.6107089504013,6891667,1,1.0,1159.921912776129,1361.8960544456877,4568.0,6120,3014.999757894493,91.83641081481825,4503097,1028.8096592189775,3073,3008,3986,1.9124614579999957,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.345596041999997
main,greedy,7,99.58749391840233,1719398,1719398.0,1726520,1719398,55976232,96.92834272946418,90.7100043154639,6509867,1,1.0,1141.8080963775935,1339.2036873393856,4225.0,6120,2952.334150777286,93.76057039594097,4247244,1111.7351564920687,3271,2958,3963,1.9463729999999941,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.414001041000006
main,greedy,8,99.53443921877535,1718482,1718482.0,1726520,1718482,57834112,97.02860139012768,89.99896420212723,6723535,1,1.0,1159.63977941167,1369.386937347023,4345.0,6120,3015.402584389408,92.30000231679911,4418738,978.0268257588478,2910,2941,3944,1.9648517919999904,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.4736515830000485
main,greedy,9,99.555406250724,1718844,1718844.0,1726520,1718844,56522428,96.95900537039917,89.95417850601916,6660886,1,1.0,1174.5344418652073,1386.1163376178783,4412.0,6120,3040.746859578806,91.75051548780205,4413371,998.3485621308519,2863,3146,4400,1.9157778329999928,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,7.310929499999986
main,full,0,99.63875309871881,1720283,1720283.0,1726520,1720283,55772563,96.9155389183029,92.0331712863523,6413945,1,1.0,1207.346195649483,1435.3990545245042,4636.0,6120,3182.006476611913,88.94238120612562,3966055,1112.3137480443413,3429,2998,3882,4.484323041999996,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0,9960,9.84421
